Year,CO2 emissions per capita Turkiye,Units
2000,3.131,tCO2 / Capita
2001,2.803,tCO2 / Capita
2002,2.918,tCO2 / Capita
2003,3.041,tCO2 / Capita
2004,3.068,tCO2 / Capita
2005,3.155,tCO2 / Capita
2006,3.467,tCO2 / Capita
2007,3.794,tCO2 / Capita
2008,3.692,tCO2 / Capita
2009,3.627,tCO2 / Capita
2010,3.662,tCO2 / Capita
2011,3.869,tCO2 / Capita
2012,3.97,tCO2 / Capita
2013,3.745,tCO2 / Capita
2014,3.98,tCO2 / Capita
2015,4.078,tCO2 / Capita
2016,4.274,tCO2 / Capita
2017,4.714,tCO2 / Capita
2018,4.603,tCO2 / Capita
2019,4.437,tCO2 / Capita
2020,4.392,tCO2 / Capita
2021,4.763,tCO2 / Capita
2022,4.589,tCO2 / Capita
